"","Date","Name","QC_Flag","QA_Flag","Reservoir_Capacity_ac_ft","Reservoir_Storage_Volume_Previous_Year_ac_ft","Reservoir_Storage_Volume_ac_ft","Median_Reservoir_Storage_Volume_1981_2010_ac_ft","Source"
"1","2022-08-01","Bear Lake",NA,"",1302000,619574,487737,567800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"2","2022-08-01","Big Sand Wash Reservoir",NA,"",25700,4072,10600,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"3","2022-08-01","Causey Reservoir",NA,"U",7100,3970,5694,5500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"4","2022-08-01","Cleveland Lake",NA,"",5400,1886,3682,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"5","2022-08-01","Currant Creek Reservoir",NA,"U",15500,14805,14800,15000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"6","2022-08-01","Deer Creek Reservoir",NA,"U",149700,92277,100084,119200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"7","2022-08-01","East Canyon Reservoir",NA,"U",49500,26440,32635,39900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"8","2022-08-01","Echo Reservoir",NA,"U",73900,14156,50718,44000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"9","2022-08-01","Flaming Gorge Reservoir",NA,"U",3749000,3072850,2779721,3293000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"11","2022-08-01","Gunlock",NA,"",10400,4500,4682,7100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"12","2022-08-01","Gunnison Reservoir",NA,"",20300,0,0,6600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"13","2022-08-01","Huntington Reservoir",NA,"U",4200,1765,2092,2800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"14","2022-08-01","Hyrum Reservoir",NA,"U",15300,4117,8580,8700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"15","2022-08-01","Joes Valley Reservoir",NA,"U",61600,28142,37382,51100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"16","2022-08-01","Jordanelle Reservoir",NA,"U",314000,196867,224544,271400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"17","2022-08-01","Ken's Lake",NA,"",2300,743,1808,1410,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"18","2022-08-01","Lake Powell",NA,"U",24322000,7866268,6212161,15262000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"19","2022-08-01","Lost Creek Reservoir",NA,"U",22500,11770,12104,17300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"20","2022-08-01","Lower Enterprise",NA,"",2600,1390,840,600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"21","2022-08-01","Miller Flat Reservoir",NA,"",5200,1333,3346,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"23","2022-08-01","Minersville Reservoir",NA,"",23300,4348,2336,5500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"24","2022-08-01","Moon Lake",NA,"U",35800,5694,18040,22800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"25","2022-08-01","Otter Creek Reservoir",NA,"",52500,8516,8671,28300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"27","2022-08-01","Pineview Reservoir",NA,"U",110100,31027,56308,80400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"28","2022-08-01","Piute Reservoir",NA,"",71800,5429,175,24300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"29","2022-08-01","Porcupine Reservoir",NA,"",11300,3649,8685,9000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"30","2022-08-01","Quail Creek Reservoir",NA,"",40000,28167,24333,29800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"31","2022-08-01","Red Fleet Reservoir",NA,"U",25700,12317,13239,22100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"32","2022-08-01","Rockport Lake",NA,"U",60900,17648,49957,52700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"34","2022-08-01","Scofield Reservoir",NA,"U",65800,23273,22612,36100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"35","2022-08-01","Settlement Canyon Reservoir",NA,"",1000,163,236,500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"37","2022-08-01","Smith And Morehouse Reservoir",NA,"U",8100,3831,7742,7100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"38","2022-08-01","Starvation Reservoir",NA,"U",164118,113428,121301,141400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"39","2022-08-01","Stateline Reservoir",NA,"U",12000,5815,10428,9300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"40","2022-08-01","Steinaker Reservoir",NA,"U",33400,3173,17858,21600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"41","2022-08-01","Strawberry Reservoir",NA,"U",1105900,841232,836080,902100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"42","2022-08-01","Upper Enterprise Reservoir",NA,"",10000,1000,580,2000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"43","2022-08-01","Utah Lake",NA,"U",870900,471261,387046,700100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"44","2022-08-01","Willard Bay Reservoir",NA,"U",215000,103135,83920,156000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"45","2022-08-01","Woodruff Creek",NA,"",4000,798,1125,800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"46","2022-08-01","Woodruff Narrows Reservoir",NA,"",57300,7394,14612,27900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"47","2022-09-01","Bear Lake",NA,"",1302000,567153,431242,490100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"48","2022-09-01","Big Sand Wash Reservoir",NA,"",25700,2790,3264,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"49","2022-09-01","Causey Reservoir",NA,"U",7100,3283,3946,3500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"50","2022-09-01","Cleveland Lake",NA,"",5400,720,2805,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
